"projectID";"ai";"biodiversity";"cleanAir";"climate";"digitalAgenda"
"101057279";"0";"0";"0";"0";"0"
"101103299";"0";"0";"0";"0";"0"
"101169088";"40";"0";"0";"0";"40"
"101094188";"0";"0";"0";"0";"0"
"101057639";"0";"0";"0";"0";"0"
"101134778";"40";"0";"0";"0";"40"
"101156751";"100";"0";"0";"0";"40"
"101127811";"0";"0";"0";"0";"0"
"101046109";"0";"0";"0";"40";"0"
"101137144";"40";"0";"0";"40";"40"
"101103195";"0";"0";"0";"0";"0"
"101057123";"0";"0";"0";"0";"0"
"101094218";"100";"0";"0";"0";"100"
"101103306";"0";"0";"0";"0";"0"
"101103640";"0";"0";"0";"0";"0"
"101080562";"0";"0";"0";"0";"0"
"101080718";"0";"0";"0";"0";"0"
"101136769";"100";"0";"0";"0";"40"
"101217685";"0";"0";"0";"0";"0"
"101137465";"40";"0";"0";"0";"100"
"101095424";"0";"0";"0";"0";"0"
"101137255";"0";"0";"0";"40";"0"
"101074135";"0";"0";"0";"0";"0"
"101103189";"0";"0";"0";"0";"0"
"101104504";"0";"0";"0";"0";"0"
"101137223";"0";"0";"0";"40";"40"
"101094323";"40";"0";"0";"0";"40"
"101145783";"0";"0";"0";"0";"0"
"101094804";"0";"0";"0";"0";"0"
"101095530";"40";"0";"0";"0";"100"
"101145735";"0";"0";"0";"0";"0"
"101103332";"0";"0";"0";"0";"0"
"101191729";"0";"0";"0";"0";"40"
"101103281";"0";"0";"0";"0";"0"
"101191747";"0";"0";"0";"0";"40"
"101095479";"0";"0";"0";"0";"0"
"101080250";"40";"0";"0";"0";"40"
"101145677";"0";"0";"0";"0";"0"
"101145599";"0";"0";"0";"0";"0"
"101103217";"0";"0";"0";"0";"0"
"101103188";"40";"0";"0";"0";"40"
"101080923";"40";"0";"0";"0";"40"
"101145740";"0";"0";"0";"0";"0"
"101137207";"0";"0";"0";"0";"0"
"101112153";"40";"0";"0";"0";"100"
"101132862";"40";"0";"0";"0";"40"
"101095142";"0";"0";"0";"0";"0"
"101095720";"40";"0";"0";"0";"100"
"101057604";"0";"0";"0";"0";"0"
"101095123";"0";"0";"0";"0";"40"
"101122283";"0";"0";"0";"100";"0"
"101168349";"40";"0";"40";"40";"40"
"101132808";"40";"0";"0";"0";"40"
"101095052";"40";"0";"0";"0";"0"
"101095528";"0";"0";"0";"0";"40"
"101096524";"0";"0";"0";"0";"0"
"101137905";"0";"0";"0";"100";"0"
"101074075";"0";"0";"0";"100";"0"
"101132513";"0";"0";"40";"40";"40"
"101147385";"0";"0";"0";"100";"40"
"101123326";"0";"0";"0";"100";"0"
"101096056";"0";"0";"0";"100";"0"
"101132603";"0";"0";"0";"0";"0"
"101057430";"0";"0";"0";"40";"0"
"101147463";"0";"0";"0";"100";"0"
"101069543";"0";"0";"0";"0";"0"
"101123293";"0";"0";"0";"100";"0"
"101132685";"0";"0";"0";"40";"40"
"101061104";"0";"0";"0";"0";"0"
"101073952";"40";"0";"0";"40";"0"
"101172817";"0";"0";"0";"100";"100"
"101057668";"0";"0";"0";"40";"0"
"101069653";"0";"0";"0";"40";"0"
"101113078";"0";"0";"0";"0";"0"
"101132467";"0";"0";"0";"100";"0"
"101113035";"0";"0";"0";"0";"0"
"101113201";"0";"0";"0";"0";"0"
"101113214";"0";"0";"0";"0";"0"
"101113099";"0";"0";"0";"0";"0"
"101112701";"0";"0";"0";"0";"0"
"101158370";"0";"0";"0";"0";"0"
"101113277";"0";"0";"0";"100";"0"
"101179032";"40";"0";"0";"0";"0"
"101061155";"0";"0";"0";"0";"0"
"101166947";"40";"0";"40";"0";"100"
"101132540";"0";"0";"40";"40";"40"
