ID,Name,Count
15051433200,Fu J.,1
15051990300,Karim F.,1
15052098800,Hertzberg J.B.,2
15052104400,Keizer J.G.,9
15052388000,Sabah C.,1
15052520700,Oprins H.,1
15053122500,Gnesi I.,1
15055697700,Dias D.M.,1
15055699500,Duque J.C.,1
15056063100,Jeong I.R.,1
15056125800,Kestner J.P.,5
15056629300,Ramanathan S.,7
15057117000,Schwarm F.-W.,1
15057229900,Zeng D.,1
15058595600,Brintlinger T.,1
15060440500,Kim H.,1
15060635700,She Y.-H.,1
15061462700,Juliá-Díaz B.,2
15063087200,Mazurczyk W.,2
15063439600,Por L.Y.,1
15063508800,Hoang T.,1
15063856000,Chen L.-Z.,1
15063892500,Crosby G.V.,1
15064838600,Roy B.,2
15065048900,Chirolli L.,1
15065177700,Diao M.,3
15065230300,Joshi P.,1
15065260900,Han J.,3
15065528000,Nagalyuk S.,1
15065834400,Tomioka K.,1
15065941500,Raban Y.,2
15068099800,Chen C.-C.,1
15069256400,Bertaina S.,1
15069351800,Baum M.,1
15070050900,Agee J.T.,1
15070057700,He M.-D.,1
15070263400,Barthel T.,2
15070967200,Ishida K.,2
15071308200,Abdou M.A.,1
15071522700,Franke K.J.,1
15071640700,Gilbreth C.N.,1
15071900500,Muga N.,1
15071982300,Paquette M.M.,2
15072071000,N'Diaye A.T.,1
15072712900,Gilani M.A.,1
15072889800,Guido C.A.,1
15073084500,Molavi R.,4
15073090100,Pushin D.A.,1
15073145500,Schollwöck U.,1
15073564900,Sen A.,1
15078020200,Khanna S.P.,2
15078072000,Wang Y.,1
15078452600,Proietti R.,1
15079775300,Jensen F.,1
15080693900,Gates J.C.,2
15081606500,Vrijsen G.,2
15081723500,Steger M.,1
15082051300,Zieliński M.,2
15119615300,Mitoraj M.M.,1
15119774400,Yaacoub E.,1
15120180100,Ruiz-Cortés A.,1
15122212500,Gaebler J.P.,1
15122614700,Prociuk A.,1
15123116600,Molle A.,1
15124166800,Madroñero J.,1
15124172300,Missert N.A.,1
15127624000,Monserrat J.F.,2
15127843600,Nawaz S.J.,1
15127885100,Mazuritskiy M.,1
15129109700,Stasiak P.,1
15129134100,Theodonis I.,1
15130471800,Abdullah-Al-Wadud M.,2
15131745600,Hu R.,1
15132826000,Nasyedkin K.,2
15133707100,Weber W.M.,2
15134573600,Nowak R.M.,1
15134820400,Danalis A.,2
15135096600,Chen H.,1
15136645300,Rajagopal P.,1
15137149800,Viciano-Chumillas M.,2
15137334000,Tomei C.,1
15137604900,Widdows D.,2
15218931300,Gorla P.,1
15219797800,Billiot G.,1
15319409600,He L.,1
15519276700,Giacosa F.,1
15519955900,Lyakhn V.Yu.,1
15520405600,Cui J.,1
15520600800,Del’Haye P.,1
15521319800,Tanhayi M.R.,2
15521479200,Naik R.K.,2
15623380100,Lee S.,2
15623824400,Shi C.,1
15623945900,Xie Y.,1
15723900000,Seridonio A.C.,3
15724335100,Cafaro C.,4
